id_utilisateur,id_parfum,note,commentaire
1297,154,3,"J'adore ce parfum, il tient super bien !"
1241,111,5,"Je ne peux plus m'en passer, c'est mon préféré."
1260,111,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1111,217,5,Odeur agréable mais trop légère pour moi.
1071,1,5,"J'adore ce parfum, il tient super bien !"
1224,118,5,"Le meilleur parfum floral, très féminin et élégant."
1094,289,4,"Super senteur, tient toute la nuit."
1096,97,4,Très floral et agréable à porter en été.
1026,284,3,"Je ne peux plus m'en passer, c'est mon préféré."
1030,44,5,"Bonne tenue, idéal pour les soirées."
1129,271,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1084,209,4,Un bon parfum mais un peu trop fort.
1048,278,5,"Un parfum incroyable, je le recommande !"
1259,293,5,"Un parfum incroyable, je le recommande !"
1261,282,5,"J'adore ce parfum, il tient super bien !"
1289,253,4,Très floral et agréable à porter en été.
1117,193,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1031,68,5,Un peu cher mais ça vaut le coup !
1127,104,5,Très floral et agréable à porter en été.
1239,108,3,"J'adore ce parfum, il tient super bien !"
1047,61,5,Très floral et agréable à porter en été.
1206,28,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1282,195,5,Un peu cher mais ça vaut le coup !
1088,106,5,"Le meilleur parfum floral, très féminin et élégant."
1220,4,3,"Je ne peux plus m'en passer, c'est mon préféré."
1015,229,5,Un bon parfum mais un peu trop fort.
1134,24,3,Très floral et agréable à porter en été.
1215,261,5,Un peu cher mais ça vaut le coup !
1129,298,3,Un peu cher mais ça vaut le coup !
1259,141,3,Odeur agréable mais trop légère pour moi.
1067,44,4,Un peu cher mais ça vaut le coup !
1217,266,4,"Je ne peux plus m'en passer, c'est mon préféré."
1027,131,4,Un bon parfum mais un peu trop fort.
1183,139,4,"Je ne peux plus m'en passer, c'est mon préféré."
1100,144,4,Odeur agréable mais trop légère pour moi.
1179,212,3,"Je ne peux plus m'en passer, c'est mon préféré."
1045,269,5,"Bonne tenue, idéal pour les soirées."
1181,66,4,Odeur agréable mais trop légère pour moi.
1110,31,4,"Je ne peux plus m'en passer, c'est mon préféré."
1090,190,5,"Super senteur, tient toute la nuit."
1117,118,3,Très floral et agréable à porter en été.
1257,114,5,Très floral et agréable à porter en été.
1007,130,3,Odeur agréable mais trop légère pour moi.
1002,4,5,Un bon parfum mais un peu trop fort.
1147,2,4,"Bonne tenue, idéal pour les soirées."
1111,177,5,Un peu cher mais ça vaut le coup !
1254,189,4,"Je ne peux plus m'en passer, c'est mon préféré."
1086,82,4,"Le meilleur parfum floral, très féminin et élégant."
1061,231,4,"Bonne tenue, idéal pour les soirées."
1146,107,3,"J'adore ce parfum, il tient super bien !"
1100,54,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1101,131,4,"Je ne peux plus m'en passer, c'est mon préféré."
1101,274,3,"Un parfum incroyable, je le recommande !"
1102,284,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1212,170,3,Odeur agréable mais trop légère pour moi.
1067,45,5,Un classique mais je préfère quelque chose de plus moderne.
1028,260,4,Très floral et agréable à porter en été.
1291,64,5,Un bon parfum mais un peu trop fort.
1019,253,4,"Un parfum incroyable, je le recommande !"
1179,8,5,"Je ne peux plus m'en passer, c'est mon préféré."
1253,297,4,"Un parfum incroyable, je le recommande !"
1108,56,5,"J'adore ce parfum, il tient super bien !"
1153,9,5,Un bon parfum mais un peu trop fort.
1005,232,3,Un classique mais je préfère quelque chose de plus moderne.
1150,262,3,Un peu cher mais ça vaut le coup !
1219,132,3,Un classique mais je préfère quelque chose de plus moderne.
1137,82,5,Un peu cher mais ça vaut le coup !
1249,140,5,"Je ne peux plus m'en passer, c'est mon préféré."
1134,137,5,"J'adore ce parfum, il tient super bien !"
1277,247,4,"J'adore ce parfum, il tient super bien !"
1162,263,5,"Le meilleur parfum floral, très féminin et élégant."
1178,141,5,"Le meilleur parfum floral, très féminin et élégant."
1175,90,3,Un peu cher mais ça vaut le coup !
1258,203,4,"Je ne peux plus m'en passer, c'est mon préféré."
1108,208,3,"J'adore ce parfum, il tient super bien !"
1125,247,3,"Un parfum incroyable, je le recommande !"
1289,107,3,Un peu cher mais ça vaut le coup !
1257,115,3,"Le meilleur parfum floral, très féminin et élégant."
1136,43,3,Un peu cher mais ça vaut le coup !
1182,38,4,Un bon parfum mais un peu trop fort.
1223,138,4,"Super senteur, tient toute la nuit."
1050,163,5,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1266,265,3,Odeur agréable mais trop légère pour moi.
1284,112,5,"Bonne tenue, idéal pour les soirées."
1170,187,5,"Je ne peux plus m'en passer, c'est mon préféré."
1017,21,4,"Je ne peux plus m'en passer, c'est mon préféré."
1278,214,5,Un peu cher mais ça vaut le coup !
1264,273,4,"Bonne tenue, idéal pour les soirées."
1207,165,4,"J'adore ce parfum, il tient super bien !"
1094,189,4,Un bon parfum mais un peu trop fort.
1101,29,3,"Bonne tenue, idéal pour les soirées."
1055,241,3,Un bon parfum mais un peu trop fort.
1102,142,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1006,1,3,Très floral et agréable à porter en été.
1064,78,5,Un peu cher mais ça vaut le coup !
1168,141,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1065,177,4,"Bonne tenue, idéal pour les soirées."
1283,27,3,"Je ne peux plus m'en passer, c'est mon préféré."
1006,129,5,Très floral et agréable à porter en été.
1065,240,5,Un peu cher mais ça vaut le coup !
1269,57,4,Un peu cher mais ça vaut le coup !
1059,291,3,"Un parfum incroyable, je le recommande !"
1104,162,5,Très floral et agréable à porter en été.
1086,94,3,"Bonne tenue, idéal pour les soirées."
1270,216,4,Un peu cher mais ça vaut le coup !
1246,109,5,"Je ne peux plus m'en passer, c'est mon préféré."
1051,37,4,Odeur agréable mais trop légère pour moi.
1014,145,5,"Le meilleur parfum floral, très féminin et élégant."
1086,231,4,"Je ne peux plus m'en passer, c'est mon préféré."
1155,8,3,Un bon parfum mais un peu trop fort.
1106,124,4,"Le meilleur parfum floral, très féminin et élégant."
1275,286,4,"Le meilleur parfum floral, très féminin et élégant."
1138,271,5,Un bon parfum mais un peu trop fort.
1152,9,5,Odeur agréable mais trop légère pour moi.
1088,122,4,"Bonne tenue, idéal pour les soirées."
1098,45,3,Odeur agréable mais trop légère pour moi.
1203,186,5,Un classique mais je préfère quelque chose de plus moderne.
1079,59,5,Odeur agréable mais trop légère pour moi.
1293,16,5,"Un parfum incroyable, je le recommande !"
1052,152,5,Un classique mais je préfère quelque chose de plus moderne.
1293,6,4,"Un parfum incroyable, je le recommande !"
1231,171,5,"J'adore ce parfum, il tient super bien !"
1150,215,5,"Bonne tenue, idéal pour les soirées."
1233,258,5,"Le meilleur parfum floral, très féminin et élégant."
1024,275,3,Un bon parfum mais un peu trop fort.
1263,211,5,"Le meilleur parfum floral, très féminin et élégant."
1219,223,4,"Je ne peux plus m'en passer, c'est mon préféré."
1198,210,4,Un classique mais je préfère quelque chose de plus moderne.
1231,165,5,Un peu cher mais ça vaut le coup !
1039,30,5,Un bon parfum mais un peu trop fort.
1186,122,4,Odeur agréable mais trop légère pour moi.
1136,136,3,Très floral et agréable à porter en été.
1097,100,4,Un peu cher mais ça vaut le coup !
1249,251,5,Odeur agréable mais trop légère pour moi.
1048,135,4,"Je ne peux plus m'en passer, c'est mon préféré."
1194,290,5,Un bon parfum mais un peu trop fort.
1126,152,4,"Bonne tenue, idéal pour les soirées."
1171,156,4,"J'adore ce parfum, il tient super bien !"
1231,66,5,"Super senteur, tient toute la nuit."
1230,77,4,"Je ne peux plus m'en passer, c'est mon préféré."
1274,210,5,"Je ne peux plus m'en passer, c'est mon préféré."
